epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4804,1.20985,1.4432,0.83574,0.7883,0.54383,0.57884,0.36801,1.00854,0.80296,0.80207,0.000405983,0.000405983,0.000405983
2,86.3421,1.17527,0.72804,0.81745,0.58882,0.63392,0.61843,0.37122,1.04629,0.81245,0.80124,0.000814505,0.000814505,0.000814505
3,118.616,1.11353,0.69721,0.80758,0.38816,0.67325,0.31953,0.17655,1.00803,11.8245,0.80008,0.00121478,0.00121478,0.00121478
4,155.365,1.21459,0.66287,0.81752,0.66183,0.53451,0.58103,0.35422,1.07823,1.0098,0.80448,0.00121287,0.00121287,0.00121287
5,186.219,1.13627,0.61932,0.81202,0.81861,0.62238,0.70621,0.41558,1.10598,0.61202,0.80324,0.0012005,0.0012005,0.0012005
6,224.667,1.09779,0.5688,0.80532,0.69139,0.53097,0.56592,0.3121,1.20619,0.64331,0.824,0.00118812,0.00118812,0.00118812
7,255.522,1.08959,0.57949,0.8073,0.77783,0.66128,0.72636,0.437,0.97616,0.53185,0.801,0.00117575,0.00117575,0.00117575
8,299.119,1.06515,0.54297,0.80258,0.81314,0.71512,0.76798,0.49071,0.98303,0.50223,0.80021,0.00116337,0.00116337,0.00116337
9,336.999,1.00059,0.51431,0.80175,0.90508,0.65833,0.73768,0.47176,0.96535,0.50342,0.79939,0.001151,0.001151,0.001151
10,367.774,1.07228,0.53327,0.80372,0.80747,0.6587,0.74341,0.43449,1.11886,0.53876,0.80601,0.00113863,0.00113863,0.00113863
11,398.397,1.14353,0.57018,0.8109,0.80112,0.68756,0.718,0.4498,0.97298,0.56229,0.8017,0.00112625,0.00112625,0.00112625
12,436.275,1.06443,0.54766,0.80314,0.80769,0.72271,0.76429,0.49159,0.97204,0.51819,0.79911,0.00111388,0.00111388,0.00111388
13,468.713,1.00783,0.50375,0.79926,0.84886,0.72336,0.76103,0.49095,0.90335,0.49034,0.79483,0.0011015,0.0011015,0.0011015
14,499.394,0.9754,0.48663,0.79665,0.92239,0.60873,0.7212,0.4819,0.94788,0.49757,0.7968,0.00108913,0.00108913,0.00108913
15,536.198,0.98064,0.48248,0.79686,0.80202,0.69245,0.74234,0.4783,0.96514,0.47831,0.80412,0.00107675,0.00107675,0.00107675
16,567.171,0.948,0.45639,0.79434,0.84879,0.64713,0.7253,0.44697,1.00624,0.47195,0.79933,0.00106437,0.00106437,0.00106437
17,603.857,0.95924,0.46537,0.79425,0.78805,0.73065,0.76451,0.49318,0.93775,0.47547,0.79815,0.001052,0.001052,0.001052
